id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
158,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,>= S1,38,ORANG,2020
159,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,< S1,3,ORANG,2020
160,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,>= S1,85,ORANG,2020
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,< S1,1,ORANG,2020
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,>= S1,30,ORANG,2020
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,< S1,0,ORANG,2020
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,>= S1,64,ORANG,2020
165,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,< S1,0,ORANG,2020
166,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,>= S1,11,ORANG,2020
167,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,< S1,0,ORANG,2020
168,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,>= S1,30,ORANG,2020
169,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,< S1,2,ORANG,2020
170,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,>= S1,18,ORANG,2020
171,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,< S1,2,ORANG,2020
172,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,>= S1,71,ORANG,2020
173,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,< S1,1,ORANG,2020
174,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,>= S1,55,ORANG,2020
175,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,< S1,1,ORANG,2020
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,>= S1,148,ORANG,2020
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,< S1,0,ORANG,2020
178,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,>= S1,32,ORANG,2020
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,< S1,0,ORANG,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,>= S1,48,ORANG,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,< S1,2,ORANG,2020
182,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,>= S1,25,ORANG,2020
183,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,< S1,3,ORANG,2020
184,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,>= S1,74,ORANG,2020
185,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,< S1,0,ORANG,2020
186,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,>= S1,7,ORANG,2020
187,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,< S1,0,ORANG,2020
188,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,>= S1,29,ORANG,2020
189,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,< S1,3,ORANG,2020
190,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,>= S1,133,ORANG,2020
191,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,< S1,7,ORANG,2020
192,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,>= S1,379,ORANG,2020
193,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,< S1,1,ORANG,2020
194,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,>= S1,21,ORANG,2020
195,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,< S1,2,ORANG,2020
196,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,>= S1,47,ORANG,2020
197,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,< S1,1,ORANG,2020
198,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,>= S1,31,ORANG,2020
199,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,< S1,2,ORANG,2020
200,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,>= S1,125,ORANG,2020
201,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,< S1,1,ORANG,2020
202,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,>= S1,13,ORANG,2020
203,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,< S1,1,ORANG,2020
204,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,>= S1,77,ORANG,2020
205,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,< S1,0,ORANG,2020
206,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,>= S1,45,ORANG,2020
207,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,< S1,2,ORANG,2020
208,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,>= S1,105,ORANG,2020
209,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,< S1,2,ORANG,2020
210,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,>= S1,46,ORANG,2020
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,< S1,1,ORANG,2020
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,>= S1,87,ORANG,2020
213,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,< S1,0,ORANG,2020
214,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,>= S1,15,ORANG,2020
215,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,< S1,1,ORANG,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,>= S1,43,ORANG,2020
